M665927026600230912,2, ابراهيم_عيسى الوسخ ابن الوسخه كلما حصل حادث اتهم السعوديه بالارهاب الكلب كان براتب 4 مليون جنيه من سنوي مصر ,neg
M666720284725129216,1, اخطر حروب الارض حرب العقيده حسيبك الله ي اول ي د ال ب راه يم ن ع ي ش ف ي ح رب عل ي نا وق ي ده ض د الع ق يده وات زا ,neg
M667468341548867584,41, اصبحت تقدم برامج عبر الجمعيات الخيريه لايصال خبثها اين مسؤولي الجمعيه من هذا نطالب_خادم_الحرمين_بايقافmbc ,neg
M667477376905977856,1, اعلامنا متمثل في داوودالشريان و روتانا وطقتهم كيف ترجي من هالاشكال خير همهم الوحيد في الحياه قياده_المراه_للسياره,neg
M664652032167583744,2, الاصرار مرتزقه_برنامج_الاصرار بضاعه هالمترديه قناه العهر مزجاه في جميع المجالات ,neg
M665300730375512064,4, الاعلام اللبناني يهاجم السعوديه منذ مده بكل قبيح ومجموعه تدعم الاعلام في لبنان باقامه برامجها الضخمه فيها ,neg
M664555998762418176,4, البرنامج استاجر بعض المشاهير و الهوامير في تويتر عشان يبررو لهم ويرقعو لقناه برنامج_اصرار,neg
M665135391993929728,1, الحمد لله ما احتاج اتعلم من واحد فاشل اخلاقيا همه الشحاذه من على حساب مواطن_يفضح_برنامج_الاصرار_برعايه_MBC,neg
M665245946717032448,1, الخرج بيض الله وجه محافظ الخرج فهذه القناه تصب على المسلمين سيل من المخالفات الشرعيه والمحرمات تدعو الى الرذيله وتشوه صوره الاسلام,neg
M665523330007568384,1, الرياض السعوديه رسالتي لوزير العمل في حينه عن برنامج_اصرار برنامج حتي بفكرته منسوخ بشكل مبتذل وفاشل ,neg
M664533732808855552,1, العربيه احقر منك لم ترى عيني واقذر منك لن يلد الفضاا طاقم متربي على الاباحيه بمعنى الكلمه ,neg
M665842356348956672,4, العربيه اضربوها_بسهام_الدعاا اللهم عليك بها وبداعميها واكفناهم بما شئت فانهم لا يعجزونك يا رب العالمين هم_العدو_فاحذر ,neg
M665369326581600256,4, العربيه بفلوسنا تعادي الاسلام وتترصد اي حدث لالصاقه بالمسلمين و مجموعه تبث مايغضب الله جهارا ولا اح ,neg
M664784061433552896,24, العربيه و ال واخواتها تعمل على افساد القلوب وتجميل العيوب وسلب الجيوب قاوموا_صهاينه_العرب ,neg
M664490180594765824,1, العربيه و قنوات مؤدلجه متطرفه,neg
M667490271026892800,15, المطالبه لايقاف ماينشر للمجتمع من خزي وفساد وتكون برعايه نطالب_خادم_الحرمين_بايقافmbc,neg
M664592681763520512,4, الوجه الاخر الاهم برايي في مقاطعه_فطور_فارس يتعلق بفارس ذاته وموقفه بتلميع ضد مواطن استضعفوه واستغلوه اسوا استغلال ب ,neg
M665901315248234496,1, اليوم في قناه برنامج داوود الشريان الساعه الثامنه مساا عنوان الحلقه البدون_فالكويت قناه مو كويتيه والمقدم سعودي طيب ليش اللقافه,neg
M666681121195847680,1, انتقد المرجئه محمد العريفي و سعد البريك بالدعوه في فخرج حمد العتيق يحرش في روتانا حديث_العمر فصمتوا فتامل ,neg
M665941163669614592,3, انتو شكو هذه بلدنا ونجنس اللي يستحق فقط ,neg
M667017722555928576,1, اوصخ قناه عربيه اختيار واطي في المسلسلات واهتمام في كل ماهو سخيف وترويج لكل ماهو منحط الافضل مقاطعتها,neg
M665172624461438976,4, ايها_الغيور اذا كنت تهاجم بدايه و تتغاضى عن فتاكد بانك تعاني من فصام نكد كلاهما خطر الاولى سدا للذريعه و الا ,neg
M664669093644115968,8, بعد ان ظهرت نتائج التحقيقات في برنامج_اصرار ايقنت ان كل هجوم على لمصالح شخصيه واحيانا حزبيه للاسف ياكثر المدرعمين ف ,neg
M666974999002091520,1, تحذير اذاعه ام بي سي اف ام سبب رئيسي لهبوط الذائقه بشكل عام ,neg
M664606617451778048,1, تستطيع ان تخدع كل الناس بعض الوقت وبعض الناس كل الوقت ولكن لن تستطيع خداع كل الناس كل الوقت مرتزقه_برنامج_الاصرار ,neg
M665609690882158592,1, تقنيه الصوت بالمسرح فيها مشكله الموسيقى عاده طاغيه على اصوات المشتركين عاده حلوها يا ,neg
M666613817435160576,13, تمويل من السعوديين اداره شيعيه عدوه المسلمين مزابل الاعلام السعودي قناه_العربيه جريده الشرق_الاوسط م ,neg
M665603189878706176,11, حمله_حذف_قناه_بدايه ايها_الغيور اذا كنت تهاجم بدايه و تتغاضى عن فتاكد بانك تعاني من فصام نكد كلاهما خطر ,neg
M666246040308289536,1, حمله_حذف_قناه_بدايه ايها_الغيور اياك ان تكون مثل هؤلاا الغيارى الحيارى يهاجمون بدايه و يمدحون ,neg
M666244270605672448,3, حمله_حذف_قناه_بدايه فصام مصاب به البعض يهاجمون بدايه الانحراف و يمدحون الفسق و الافلام ,neg
M666160468566872064,1, روتانا_خليجيه تغريداتي في حق هذه القنوات الفاسده نابع من واجب وطني تجاه مجتمعناالمستهدف فلاداعي للمزايده من منتسبيهافي الخاص مقصوده,neg
M665584922514595840,1, سود الله وجهك يا خره تتكلمين على الدين والدعاا وانتي طالعه على التلفزيون متبرجه تهاجم الدعاا,neg
M665119478011809792,1, عسى ماشر اليوم جمعه واغنيه ورا اغنيهم توصل الوقاحه والى هذي الدرجه ,neg
M665135543081172992,1, علي_الغفيلي MBCتسوي معروف لو تنهي عقده لا كلامه مقبول ولا مزحه ,neg
M665957585439322112,4, في يوما ما اعلنت انها ستقوم بحذف جميع مشاهد التدخين ولكن الواقع مختلف جدا ,neg
M666286802752446464,1, ق_mbc_تخرب_بيتك حمله خليجيه كبرى غاضبه لمطالبه الملك سلمان والامير محمد بن سلمان باغلاق مجموعه قنوات الدعاره ,neg
M665649004617842688,3, قناه العبريه قناه صهيونيه بامتياز ونحاربها كما نحارب قناه وغيرها من القنوات الهابطه لكن بدايه كانت ,neg
M667291179201925120,2, قناه بدايه اسوا من قناه لترويجها الشذوذ والتشبه بالنساا فهي اخطر من حيث تمثيلها لمنهج الدين اليس الاولى حذف_قن ,neg
M666640128773779456,1, قناه سي المحترمه ارجو منكم طرد المسئول عن عرض المسلسل التركي زهره_القصر سامج واخذ وقت المشاهدين بدون اي فايده قهرني,neg
M667410314359660544,1, قناه قناه دعاره بس مستحين ,neg
M664555559052566528,3, قناه لغت برنامجها وراحت ع Cbc برضوا البرنامج فاشششششششل جداااااااا ,neg
M665585180086820864,8, قناه وبرنامج بدريه يسب وزاره الشؤون الاسلاميه ومقدمه البرنامج تسب الدعاه فالمملكه حسبنا الله ونعم الوكيل ,neg
M664902305028907008,1, قنوات للافلام فيها من التبشير و الفساد و الافساد و التثبيط ما الله به عليم,neg
M664510204814454784,188, كل قذاره العالم وضعت في مجموعه قنوات ومنها العربيه شكلت اكبر ترسانه للعدو الصهيوني لتدمر كل بيت عربي مسلم اضربوها_ب ,neg
M664519843778043904,1, كل قذارهالعالم وضعت في مجموعهقنوات شكلت اكبر ترسانهللعدو الصهيوني لتدمر كل بيت عربي مسلم اضربوها_بسهام_المقاطعه,neg
M665906395468791808,3, كل يوم تخرج لنا فضائح جديده ل برنامج_الاصرار و ومرتزقتهما امثال فارس وفايز وغيرهم ول وزاره_العمل بعد تحقيقها الكاذب ض ,neg
M664564711313264640,1, لا تزال قناه مستمره في محاولاتها البائسه لاخراج برنامج كوميدي مشابه لبرنامج باسم يوسف من البايخه اروى للثقيل معتز الدمر ,neg
M665985650764734464,1, للاسف الكثير لازالوا مخدوعين في قناه قناه استغلاليه وتوجهاتها تغريبيه مواطن_يفضح_برنامج_الاصرار_برعايه_MBC ,neg
M664507051096285184,1, للاسف نشرت صوره عن ساجر الداعشيه وفي التقرير الساقطات كاتبين يا نايف يا خسيس ليش ما شطبوها قناه هذي معنا ولا ضدنا,neg
M667459206170054656,1, لماذا_يا_خوله_العنزي اذا اردتم ان تعرفوا مصدر التطرف والانتكاس فهي من روتانا وكل قنوات الفحش ومن يناصرهم لانهم يتعمدون قهر المسلمين,neg
M667454935961726976,1, لماذا_يا_خوله_العنزي اعوذ بالله من اشاعه الفاحشه او حب اشاعتها فليتق الله اصحاب هذه القنوات الفاسده روتانا ,neg
